sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03456-E-20240509	e03456-E-20240509	1	e03456-E_S390_L001_R1_001.fastq.gz	e03456-E_S390_L001_R2_001.fastq.gz	29083	29083	28666	28666	28388	28388	19371	19171	19171
e03456-F-20240509	e03456-F-20240509	1	e03456-F_S473_L001_R1_001.fastq.gz	e03456-F_S473_L001_R2_001.fastq.gz	29543	29543	29166	29166	29068	29068	27194	26745	26743
e03457-D-20240509	e03457-D-20240509	1	e03457-D_S308_L001_R1_001.fastq.gz	e03457-D_S308_L001_R2_001.fastq.gz	38104	38104	37599	37599	37486	37486	36574	36145	36145
e03457-E-20240509	e03457-E-20240509	1	e03457-E_S391_L001_R1_001.fastq.gz	e03457-E_S391_L001_R2_001.fastq.gz	22766	22766	22428	22428	22280	22280	18395	18073	18073
e03457-F-20240509	e03457-F-20240509	1	e03457-F_S474_L001_R1_001.fastq.gz	e03457-F_S474_L001_R2_001.fastq.gz	18887	18887	18612	18612	18548	18548	17218	17209	17209
e03458-D-20240509	e03458-D-20240509	1	e03458-D_S309_L001_R1_001.fastq.gz	e03458-D_S309_L001_R2_001.fastq.gz	38256	38256	37751	37751	37537	37537	35030	34973	34973
e03458-E-20240509	e03458-E-20240509	1	e03458-E_S392_L001_R1_001.fastq.gz	e03458-E_S392_L001_R2_001.fastq.gz	31591	31591	31170	31170	31035	31035	27105	26765	26765
e03458-F-20240509	e03458-F-20240509	1	e03458-F_S475_L001_R1_001.fastq.gz	e03458-F_S475_L001_R2_001.fastq.gz	32709	32709	32263	32263	32195	32195	30569	30251	30251
e03459-D-20240509	e03459-D-20240509	1	e03459-D_S310_L001_R1_001.fastq.gz	e03459-D_S310_L001_R2_001.fastq.gz	95	95	92	92	78	78	56	56	24
e03459-E-20240509	e03459-E-20240509	1	e03459-E_S393_L001_R1_001.fastq.gz	e03459-E_S393_L001_R2_001.fastq.gz	82	82	80	80	76	76	53	53	53
e03459-F-20240509	e03459-F-20240509	1	e03459-F_S476_L001_R1_001.fastq.gz	e03459-F_S476_L001_R2_001.fastq.gz	74	74	73	73	31	31	24	24	24
e03460-D-20240509	e03460-D-20240509	1	e03460-D_S311_L001_R1_001.fastq.gz	e03460-D_S311_L001_R2_001.fastq.gz	41701	41701	40535	40535	40368	40368	38746	38387	38387
e03460-E-20240509	e03460-E-20240509	1	e03460-E_S394_L001_R1_001.fastq.gz	e03460-E_S394_L001_R2_001.fastq.gz	33002	33002	32538	32538	32268	32268	29998	29746	29746
e03460-F-20240509	e03460-F-20240509	1	e03460-F_S477_L001_R1_001.fastq.gz	e03460-F_S477_L001_R2_001.fastq.gz	38450	38450	37998	37998	37847	37847	36875	36733	36730
e03461-D-20240509	e03461-D-20240509	1	e03461-D_S313_L001_R1_001.fastq.gz	e03461-D_S313_L001_R2_001.fastq.gz	22637	22637	22326	22326	22188	22188	21831	21685	21685
e03461-E-20240509	e03461-E-20240509	1	e03461-E_S396_L001_R1_001.fastq.gz	e03461-E_S396_L001_R2_001.fastq.gz	31994	31994	31557	31557	27401	27401	26162	25958	25958
e03461-F-20240509	e03461-F-20240509	1	e03461-F_S479_L001_R1_001.fastq.gz	e03461-F_S479_L001_R2_001.fastq.gz	26090	26090	25744	25744	25620	25620	24617	24227	24227
e03462-D-20240509	e03462-D-20240509	1	e03462-D_S314_L001_R1_001.fastq.gz	e03462-D_S314_L001_R2_001.fastq.gz	16115	16115	15894	15894	15784	15784	12141	12141	12141
