"","extraction_ID","alternative_ID","collection_year","collection_month","collection_day","location1","depth","longitude","latitude","sample_ID","replicate","sample_type","taxon","taxonomic_level","species","genus","family","order","class","kingdom","reads"
"81","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-B","B","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",6
"82","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Eukaryota",3301
"83","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",548
"84","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",17018
"85","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Eukaryota",474
"86","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",762
"87","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",1695
"88","e03356","NW2301_3_10_3",2023,8,30,3,10,-169.953,60.0022,"e03356-C","C","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",556
"89","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-A","A","sample","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",1
"90","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-A","A","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",10738
"91","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-A","A","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",3846
"92","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-A","A","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",8
"93","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-B","B","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",6036
"94","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-B","B","sample","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Eukaryota",1410
"95","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-B","B","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",6474
"96","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-B","B","sample","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",807
"97","e03358","NW2301_4_10_1",2023,8,31,4,10,-171.013,60.0016,"e03358-B","B","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",3
